DISTANCE,ELEVATION,ELEV_DEM,ID,LATITUDE,LONGITUDE,MNET_ID,NAME,RESTRICTED,STATE,STATUS,STID,TIMEZONE,ACCUM_226_DAYS,EPOCH_TIMEDELTA,COUNT
11.55,4337,4340.6,161,40.18376,-112.9217,1,Michael Army Airfield - Dugway Proving Ground,False,UT,ACTIVE,KDPG,America/Denver,0.41,19436640,1268
11.55,4345,4340.6,448,40.1838,-112.92166,3,DITTO,False,UT,ACTIVE,DPG01,America/Denver,4.25,19613100,62842
8.6,4250,4327.4,449,40.04613,-113.2081,3,CALLAO GATE,False,UT,ACTIVE,DPG02,America/Denver,3.48,19613100,62757
0.0,4349,4370.1,451,40.04602,-113.0455,3,TARGET S,False,UT,ACTIVE,DPG04,America/Denver,0.0,19613100,59879
11.1,4363,4366.8,452,40.156940000000006,-112.89368,3,WHITE SAGE,False,UT,ACTIVE,DPG05,America/Denver,5.96,19613100,62482
7.0,5077,5223.1,453,40.11945,-112.95425,3,CAMEL BACK MTN,False,UT,ACTIVE,DPG06,America/Denver,4.49,19613100,62862
12.23,4261,4307.7,455,40.19662,-113.16707,3,HORIZONTAL GRID,False,UT,ACTIVE,DPG08,America/Denver,4.45,19613100,62192
13.81,4280,4291.3,456,40.242540000000005,-113.09303,3,PLAYA STATION,False,UT,ACTIVE,DPG09,America/Denver,4.49,19613100,62791
9.46,4294,4320.9,457,40.18169,-113.02175,3,BAKER LAB,False,UT,ACTIVE,DPG10,America/Denver,3.92,19613100,62819
5.25,4346,4376.6,458,40.10345,-112.98038999999999,3,TOWER GRID,False,UT,ACTIVE,DPG11,America/Denver,2.49,19613100,62586
4.59,4324,4324.1,459,40.09075,-113.10963999999998,3,JULIET ROAD,False,UT,ACTIVE,DPG12,America/Denver,3.92,19611900,60917
13.23,4538,4534.1,460,40.1067,-112.80815,3,DURAND ROAD,False,UT,ACTIVE,DPG13,America/Denver,0.0,19613100,62747
12.08,4380,4347.1,6460,40.20812,-112.95962,3,NW DECON PAD,False,UT,ACTIVE,DPG22,America/Denver,4.57,19613100,62851
8.39,4313,4324.1,28383,40.16591,-113.02006999999999,29,DUGWAY,False,UT,ACTIVE,DGYU1,America/Denver,4.29,19526400,222
9.12,4308,4311.0,30884,40.1475,-113.1559,3,Romeo & Centerline,False,UT,ACTIVE,DPG28,America/Denver,5.54,19613100,62808
10.02,4311,4320.9,30885,40.1012,-113.2208,3,Target R,False,UT,ACTIVE,DPG29,America/Denver,3.69,19613100,62766
14.49,4403,4412.7,30887,40.1081,-113.3073,3,West Granite,False,UT,ACTIVE,DPG31,America/Denver,18.25,19613100,62748
11.53,4385,4370.1,48434,40.163722,-112.89088899999999,2,DUGWAY-S,False,UT,ACTIVE,TT391,America/Denver,4.71,19612800,5446
5.93,4348,4334.0,48435,40.115583,-113.111194,2,DUGWAY-W,False,UT,ACTIVE,TT392,America/Denver,4.22,19612800,5446
